"","Rank","Title","Runtime","Genre","Rating","Metascore","Votes","Director","Actor","Gross"
"1635",35,"Up in the Air","109 min","Comedy, Drama, Romance",7.4,83,326110,"Jason Reitman","George Clooney","$83.82M"
"1636",36,"Knowing","121 min","Action, Drama, Sci-Fi",6.2,41,226731,"Alex Proyas","Nicolas Cage","$79.96M"
"1637",37,"Hannah Montana: The Movie","102 min","Comedy, Drama, Family",4.6,47,41105,"Peter Chelsom","Miley Cyrus","$79.57M"
"1638",38,"Where the Wild Things Are","101 min","Adventure, Drama, Family",6.7,71,102756,"Spike Jonze","Max Records","$77.23M"
"1639",39,"Zombieland","88 min","Adventure, Comedy, Fantasy",7.6,73,540749,"Ruben Fleischer","Jesse Eisenberg","$75.59M"
"1640",40,"Coraline","100 min","Animation, Drama, Family",7.7,80,207748,"Henry Selick","Dakota Fanning","$75.29M"
"1641",41,"Law Abiding Citizen","109 min","Action, Crime, Drama",7.4,34,281776,"F. Gary Gray","Gerard Butler","$73.34M"
"1642",42,"I Love You, Man","105 min","Comedy, Romance",7,70,198747,"John Hamburg","Paul Rudd","$71.44M"
"1643",43,"Obsessed","108 min","Drama, Romance, Thriller",5,25,31210,"Steve Shill","Beyoncé","$68.26M"
"1644",44,"Race to Witch Mountain","98 min","Action, Adventure, Family",5.7,52,57748,"Andy Fickman","Dwayne Johnson","$67.17M"
"1645",45,"The Final Destination","82 min","Action, Horror, Thriller",5.2,30,100582,"David R. Ellis","Nick Zano","$66.48M"
"1646",46,"The Taking of Pelham 123","106 min","Action, Crime, Thriller",6.4,55,191223,"Tony Scott","Denzel Washington","$65.45M"
"1647",47,"Friday the 13th","97 min","Horror, Mystery, Thriller",5.5,34,101647,"Marcus Nispel","Jared Padalecki","$65.00M"
"1648",48,"17 Again","102 min","Comedy, Drama, Fantasy",6.4,48,189069,"Burr Steers","Zac Efron","$64.17M"
"1649",49,"The Time Traveler's Wife","107 min","Comedy, Drama, Fantasy",7.1,47,145252,"Robert Schwentke","Eric Bana","$63.41M"
"1650",50,"Brüno","81 min","Comedy",5.8,54,146617,"Larry Charles","Sacha Baron Cohen","$60.05M"
"1651",1,"Toy Story 3","103 min","Animation, Adventure, Comedy",8.2,92,785152,"Lee Unkrich","Tom Hanks","$415.00M"
"1652",2,"Alice in Wonderland","108 min","Adventure, Family, Fantasy",6.4,53,395381,"Tim Burton","Mia Wasikowska","$334.19M"
"1653",3,"Iron Man 2","124 min","Action, Adventure, Sci-Fi",7,57,756816,"Jon Favreau","Robert Downey Jr.","$312.43M"
"1654",4,"The Twilight Saga: Eclipse","124 min","Action, Adventure, Drama",5,58,235735,"David Slade","Kristen Stewart","$300.53M"
"1655",5,"Harry Potter and the Deathly Hallows: Part 1","146 min","Adventure, Fantasy, Mystery",7.7,65,501714,"David Yates","Daniel Radcliffe","$295.98M"
"1656",6,"Inception","148 min","Action, Adventure, Sci-Fi",8.8,74,2166425,"Christopher Nolan","Leonardo DiCaprio","$292.58M"
"1657",7,"Despicable Me","95 min","Animation, Adventure, Comedy",7.6,72,516538,"Pierre Coffin","Steve Carell","$251.51M"
"1658",8,"Shrek Forever After","93 min","Animation, Adventure, Comedy",6.3,58,193031,"Mike Mitchell","Mike Myers","$238.37M"
"1659",9,"How to Train Your Dragon","98 min","Animation, Action, Adventure",8.1,75,692740,"Dean DeBlois","Jay Baruchel","$217.58M"
"1660",10,"Tangled","100 min","Animation, Adventure, Comedy",7.7,71,422400,"Nathan Greno","Mandy Moore","$200.82M"
"1661",11,"The Karate Kid","140 min","Action, Drama, Family",6.2,61,170318,"Harald Zwart","Jackie Chan","$176.59M"
"1662",12,"TRON: Legacy","125 min","Action, Adventure, Sci-Fi",6.8,49,322420,"Joseph Kosinski","Jeff Bridges","$172.06M"
"1663",13,"True Grit","110 min","Drama, Western",7.6,80,322796,"Ethan Coen","Jeff Bridges","$171.24M"
"1664",14,"Clash of the Titans","106 min","Action, Adventure, Fantasy",5.8,39,275758,"Louis Leterrier","Sam Worthington","$163.21M"
"1665",15,"Grown Ups","102 min","Comedy",5.9,30,235611,"Dennis Dugan","Adam Sandler","$162.00M"
"1666",16,"Megamind","95 min","Animation, Action, Comedy",7.2,63,239937,"Tom McGrath","Will Ferrell","$148.42M"
"1667",17,"Little Fockers","98 min","Comedy, Romance",5.5,27,109540,"Paul Weitz","Ben Stiller","$148.38M"
"1668",18,"The King's Speech","118 min","Biography, Drama, History",8,88,655902,"Tom Hooper","Colin Firth","$138.80M"
"1669",19,"The Last Airbender","103 min","Action, Adventure, Family",4,20,158022,"M. Night Shyamalan","Noah Ringer","$131.56M"
"1670",20,"Shutter Island","138 min","Mystery, Thriller",8.2,63,1193475,"Martin Scorsese","Leonardo DiCaprio","$128.01M"
"1671",21,"The Other Guys","107 min","Action, Comedy, Crime",6.7,64,252288,"Adam McKay","Will Ferrell","$119.22M"
"1672",22,"Salt","100 min","Action, Thriller",6.4,65,303747,"Phillip Noyce","Angelina Jolie","$118.31M"
"1673",23,"Valentine's Day","125 min","Comedy, Romance",5.7,34,116599,"Garry Marshall","Julia Roberts","$110.49M"
"1674",24,"Black Swan","108 min","Drama, Thriller",8,79,723006,"Darren Aronofsky","Natalie Portman","$106.95M"
"1675",25,"Robin Hood","140 min","Action, Adventure, Drama",6.6,53,259563,"Ridley Scott","Russell Crowe","$105.27M"
"1676",26,"The Chronicles of Narnia: The Voyage of the Dawn Treader","113 min","Adventure, Family, Fantasy",6.3,53,147000,"Michael Apted","Ben Barnes","$104.39M"
"1677",27,"The Expendables","103 min","Action, Adventure, Thriller",6.5,45,334172,"Sylvester Stallone","Sylvester Stallone","$103.07M"
"1678",28,"Due Date","95 min","Comedy, Drama",6.5,51,332085,"Todd Phillips","Robert Downey Jr.","$100.54M"
"1679",29,"Yogi Bear","80 min","Animation, Adventure, Comedy",4.6,35,21225,"Eric Brevig","Dan Aykroyd","$100.25M"
"1680",30,"Date Night","88 min","Comedy, Crime, Romance",6.3,56,156645,"Shawn Levy","Steve Carell","$98.71M"
"1681",31,"The Social Network","120 min","Biography, Drama",7.7,95,653052,"David Fincher","Jesse Eisenberg","$96.96M"
"1682",32,"Sex and the City 2","146 min","Comedy, Drama, Romance",4.5,27,76463,"Michael Patrick King","Sarah Jessica Parker","$95.35M"
"1683",33,"The Book of Eli","118 min","Action, Adventure, Drama",6.9,53,303054,"Albert Hughes","Denzel Washington","$94.84M"
"1684",34,"The Fighter","116 min","Biography, Drama, Sport",7.8,79,351000,"David O. Russell","Mark Wahlberg","$93.62M"
"1685",35,"The Town","125 min","Crime, Drama, Thriller",7.5,74,367225,"Ben Affleck","Ben Affleck","$92.19M"
"1686",36,"Prince of Persia: The Sands of Time","116 min","Action, Adventure, Fantasy",6.6,50,279030,"Mike Newell","Jake Gyllenhaal","$90.76M"
"1687",37,"RED","111 min","Action, Comedy, Crime",7,60,298087,"Robert Schwentke","Bruce Willis","$90.38M"
"1688",38,"Percy Jackson & the Olympians: The Lightning Thief","118 min","Adventure, Family, Fantasy",5.9,47,182123,"Chris Columbus","Logan Lerman","$88.76M"
"1689",39,"Paranormal Activity 2","91 min","Horror, Mystery",5.7,53,100975,"Tod Williams","Katie Featherston","$84.75M"
"1690",40,"Unstoppable","98 min","Action, Thriller",6.8,69,190754,"Tony Scott","Denzel Washington","$81.56M"
"1691",41,"Eat Pray Love","133 min","Biography, Drama, Romance",5.8,50,92902,"Ryan Murphy","Julia Roberts","$80.57M"
"1692",42,"Dear John","108 min","Drama, Mystery, Romance",6.3,43,143270,"Lasse Hallström","Channing Tatum","$80.01M"
"1693",43,"The A-Team","117 min","Action, Adventure, Thriller",6.7,47,251709,"Joe Carnahan","Liam Neeson","$77.22M"
"1694",44,"Knight and Day","109 min","Action, Adventure, Comedy",6.3,46,185288,"James Mangold","Tom Cruise","$76.42M"
"1695",45,"Dinner for Schmucks","114 min","Comedy",5.9,56,103797,"Jay Roach","Steve Carell","$73.03M"
"1696",46,"The Tourist","103 min","Action, Thriller",6,37,232254,"Florian Henckel von Donnersmarck","Johnny Depp","$67.63M"
"1697",47,"The Bounty Hunter","110 min","Action, Comedy, Romance",5.6,22,124336,"Andy Tennant","Jennifer Aniston","$67.06M"
"1698",48,"Diary of a Wimpy Kid","120 min","Comedy, Drama, Family",6.2,56,45720,"Thor Freudenthal","Zachary Gordon","$64.00M"
"1699",49,"The Sorcerer's Apprentice","109 min","Action, Adventure, Family",6.1,46,157028,"Jon Turteltaub","Nicolas Cage","$63.15M"
"1700",50,"A Nightmare on Elm Street","95 min","Crime, Drama, Horror",5.2,35,95722,"Samuel Bayer","Jackie Earle Haley","$63.08M"
"1701",1,"Harry Potter and the Deathly Hallows: Part 2","130 min","Adventure, Drama, Fantasy",8.1,85,801051,"David Yates","Daniel Radcliffe","$381.01M"
"1702",2,"Transformers: Dark of the Moon","154 min","Action, Adventure, Sci-Fi",6.2,42,393768,"Michael Bay","Shia LaBeouf","$352.39M"
"1703",3,"The Twilight Saga: Breaking Dawn - Part 1","117 min","Adventure, Drama, Fantasy",4.9,45,231050,"Bill Condon","Kristen Stewart","$281.29M"
"1704",4,"The Hangover Part II","102 min","Comedy",6.4,44,476990,"Todd Phillips","Bradley Cooper","$254.46M"
"1705",5,"Pirates of the Caribbean: On Stranger Tides","136 min","Action, Adventure, Fantasy",6.6,45,496884,"Rob Marshall","Johnny Depp","$241.06M"
"1706",6,"Fast Five","130 min","Action, Adventure, Crime",7.3,66,366524,"Justin Lin","Vin Diesel","$209.84M"
"1707",7,"Mission: Impossible - Ghost Protocol","132 min","Action, Adventure, Thriller",7.4,73,469429,"Brad Bird","Tom Cruise","$209.40M"
"1708",8,"Cars 2","106 min","Animation, Adventure, Comedy",6.1,57,171373,"John Lasseter","Owen Wilson","$191.45M"
"1709",9,"Sherlock Holmes: A Game of Shadows","129 min","Action, Adventure, Mystery",7.5,48,433404,"Guy Ritchie","Robert Downey Jr.","$186.85M"
"1710",10,"Thor","115 min","Action, Adventure, Fantasy",7,57,782295,"Kenneth Branagh","Chris Hemsworth","$181.03M"
"1711",11,"Rise of the Planet of the Apes","105 min","Action, Drama, Sci-Fi",7.5,68,507945,"Rupert Wyatt","James Franco","$176.76M"
"1712",12,"Captain America: The First Avenger","124 min","Action, Adventure, Sci-Fi",6.9,66,781108,"Joe Johnston","Chris Evans","$176.65M"
"1713",13,"The Help","146 min","Drama",8,62,439149,"Tate Taylor","Emma Stone","$169.71M"
"1714",14,"Bridesmaids","125 min","Comedy, Romance",6.8,75,279590,"Paul Feig","Kristen Wiig","$169.11M"
"1715",15,"Kung Fu Panda 2","90 min","Animation, Action, Adventure",7.2,67,265378,"Jennifer Yuh Nelson","Jack Black","$165.25M"
"1716",16,"Puss in Boots","90 min","Animation, Adventure, Comedy",6.6,65,150239,"Chris Miller","Antonio Banderas","$149.26M"
"1717",17,"X: First Class","131 min","Action, Adventure, Sci-Fi",7.7,65,662311,"Matthew Vaughn","James McAvoy","$146.41M"
"1718",18,"Rio","96 min","Animation, Adventure, Comedy",6.9,63,215080,"Carlos Saldanha","Jesse Eisenberg","$143.62M"
"1719",19,"The Smurfs","103 min","Animation, Adventure, Comedy",5.4,30,86776,"Raja Gosnell","Hank Azaria","$142.61M"
"1720",20,"Alvin and the Chipmunks: Chipwrecked","87 min","Animation, Adventure, Comedy",4.3,24,33269,"Mike Mitchell","Justin Long","$133.11M"
"1721",21,"Super 8","112 min","Mystery, Sci-Fi, Thriller",7,72,345372,"J.J. Abrams","Elle Fanning","$127.00M"
"1722",22,"Rango","107 min","Animation, Adventure, Comedy",7.2,75,248126,"Gore Verbinski","Johnny Depp","$123.48M"
"1723",23,"Horrible Bosses","98 min","Comedy, Crime",6.8,57,431895,"Seth Gordon","Jason Bateman","$117.54M"
"1724",24,"Green Lantern","114 min","Action, Adventure, Sci-Fi",5.5,39,274673,"Martin Campbell","Ryan Reynolds","$116.60M"
"1725",25,"Hop","95 min","Animation, Adventure, Comedy",5.4,41,32895,"Tim Hill","Russell Brand","$108.09M"
"1726",26,"Paranormal Activity 3","83 min","Horror, Mystery",5.8,59,92325,"Henry Joost","Chloe Csengery","$104.01M"
"1727",27,"Just Go with It","117 min","Comedy, Romance",6.4,33,230035,"Dennis Dugan","Adam Sandler","$103.03M"
"1728",28,"The Girl with the Dragon Tattoo","158 min","Crime, Drama, Mystery",7.8,71,439400,"David Fincher","Daniel Craig","$102.52M"
"1729",29,"Bad Teacher","92 min","Comedy, Romance",5.6,47,197900,"Jake Kasdan","Cameron Diaz","$100.29M"
"1730",30,"Cowboys & Aliens","119 min","Action, Sci-Fi, Thriller",6,50,213466,"Jon Favreau","Daniel Craig","$100.24M"
"1731",31,"Gnomeo & Juliet","84 min","Animation, Adventure, Comedy",5.9,53,54095,"Kelly Asbury","James McAvoy","$99.97M"
"1732",32,"The Green Hornet","119 min","Action, Comedy, Crime",5.8,39,157977,"Michel Gondry","Seth Rogen","$98.78M"
"1733",33,"The Muppets","103 min","Adventure, Comedy, Family",7.1,75,89802,"James Bobin","Amy Adams","$88.63M"
"1734",34,"Real Steel","127 min","Action, Drama, Sci-Fi",7,56,309774,"Shawn Levy","Hugh Jackman","$85.47M"
"1735",35,"Crazy, Stupid, Love.","118 min","Comedy, Drama, Romance",7.4,68,491345,"Glenn Ficarra","Steve Carell","$84.35M"
"1736",36,"Battle Los Angeles","116 min","Action, Sci-Fi",5.7,37,177115,"Jonathan Liebesman","Aaron Eckhart","$83.55M"
"1737",37,"Immortals","110 min","Action, Drama, Fantasy",6,46,164282,"Tarsem Singh","Henry Cavill","$83.50M"
"1738",38,"The Descendants","115 min","Comedy, Drama",7.3,84,236603,"Alexander Payne","George Clooney","$82.58M"
"1739",39,"Zookeeper","102 min","Comedy, Family, Fantasy",5.2,30,59327,"Frank Coraci","Kevin James","$80.36M"
"1740",40,"War Horse","146 min","Action, Adventure, Drama",7.2,72,151736,"Steven Spielberg","Jeremy Irvine","$79.88M"
"1741",41,"Limitless","105 min","Sci-Fi, Thriller",7.4,59,543676,"Neil Burger","Bradley Cooper","$79.25M"
"1742",42,"Tower Heist","104 min","Action, Comedy, Crime",6.2,59,138419,"Brett Ratner","Eddie Murphy","$78.05M"
"1743",43,"The Adventures of Tintin","107 min","Animation, Action, Adventure",7.3,68,222825,"Steven Spielberg","Jamie Bell","$77.59M"
"1744",44,"Contagion","106 min","Drama, Thriller",6.7,70,292515,"Steven Soderbergh","Matt Damon","$75.66M"
"1745",45,"We Bought a Zoo","124 min","Comedy, Drama, Family",7.1,58,138965,"Cameron Crowe","Matt Damon","$75.62M"
"1746",46,"Moneyball","133 min","Biography, Drama, Sport",7.6,87,390519,"Bennett Miller","Brad Pitt","$75.61M"
"1747",47,"Jack and Jill","91 min","Comedy",3.3,23,81092,"Dennis Dugan","Adam Sandler","$74.16M"
"1748",48,"Hugo","126 min","Drama, Family, Fantasy",7.5,83,312635,"Martin Scorsese","Asa Butterfield","$73.86M"
"1749",49,"Dolphin Tale","113 min","Drama, Family",6.8,64,23329,"Charles Martin Smith","Morgan Freeman","$72.29M"
"1750",50,"No Strings Attached","108 min","Comedy, Romance",6.2,50,220734,"Ivan Reitman","Natalie Portman","$70.66M"
"1751",1,"The Avengers","143 min","Action, Adventure, Sci-Fi",8,69,1306369,"Joss Whedon","Robert Downey Jr.","$623.28M"
"1752",2,"The Dark Knight Rises","164 min","Action, Adventure",8.4,78,1575582,"Christopher Nolan","Christian Bale","$448.14M"
"1753",3,"The Hunger Games","142 min","Action, Adventure, Sci-Fi",7.2,68,870514,"Gary Ross","Jennifer Lawrence","$408.01M"
"1754",4,"Skyfall","143 min","Action, Adventure, Thriller",7.7,81,647340,"Sam Mendes","Daniel Craig","$304.36M"
"1755",5,"The Hobbit: An Unexpected Journey","169 min","Adventure, Fantasy",7.8,58,779693,"Peter Jackson","Martin Freeman","$303.00M"
"1756",6,"The Twilight Saga: Breaking Dawn - Part 2","115 min","Adventure, Drama, Fantasy",5.5,52,239007,"Bill Condon","Kristen Stewart","$292.30M"
"1757",7,"The Amazing Spider-Man","136 min","Action, Adventure, Fantasy",6.9,66,579891,"Marc Webb","Andrew Garfield","$262.03M"
"1758",8,"Brave","93 min","Animation, Adventure, Comedy",7.1,69,387659,"Mark Andrews","Kelly Macdonald","$237.28M"
"1759",9,"Ted","106 min","Comedy",6.9,62,585448,"Seth MacFarlane","Mark Wahlberg","$218.82M"
"1760",10,"Madagascar 3: Europe's Most Wanted","93 min","Animation, Adventure, Comedy",6.8,60,170681,"Eric Darnell","Ben Stiller","$216.39M"
"1761",11,"The Lorax","86 min","Animation, Adventure, Comedy",6.4,46,104261,"Chris Renaud","Zac Efron","$214.03M"
"1762",12,"Wreck-It Ralph","101 min","Animation, Adventure, Comedy",7.7,72,395419,"Rich Moore","John C. Reilly","$189.42M"
"1763",13,"Lincoln","150 min","Biography, Drama, History",7.3,86,251816,"Steven Spielberg","Daniel Day-Lewis","$182.21M"
"1764",14,"Men in Black 3","106 min","Action, Adventure, Comedy",6.8,58,345604,"Barry Sonnenfeld","Will Smith","$179.02M"
"1765",15,"Django Unchained","165 min","Drama, Western",8.4,81,1423948,"Quentin Tarantino","Jamie Foxx","$162.81M"
"1766",16,"Ice Age: Continental Drift","88 min","Animation, Adventure, Comedy",6.5,49,198697,"Steve Martino","Ray Romano","$161.32M"
"1767",17,"Snow White and the Huntsman","127 min","Action, Adventure, Drama",6.1,57,280242,"Rupert Sanders","Kristen Stewart","$155.33M"
"1768",18,"Les Misérables","158 min","Drama, History, Musical",7.6,63,317440,"Tom Hooper","Hugh Jackman","$148.81M"
"1769",19,"Hotel Transylvania","91 min","Animation, Adventure, Comedy",7.1,47,235977,"Genndy Tartakovsky","Adam Sandler","$148.31M"
"1770",20,"Taken 2","92 min","Action, Crime, Thriller",6.3,45,296879,"Olivier Megaton","Liam Neeson","$139.85M"
"1771",21,"21 Jump Street","109 min","Action, Comedy, Crime",7.2,69,526559,"Phil Lord","Jonah Hill","$138.45M"
"1772",22,"Argo","120 min","Biography, Drama, Thriller",7.7,86,589782,"Ben Affleck","Ben Affleck","$136.03M"
"1773",23,"Silver Linings Playbook","122 min","Comedy, Drama, Romance",7.7,81,679984,"David O. Russell","Bradley Cooper","$132.09M"
"1774",24,"Prometheus","124 min","Adventure, Mystery, Sci-Fi",7,64,583387,"Ridley Scott","Noomi Rapace","$126.48M"
"1775",25,"Safe House","115 min","Action, Thriller",6.7,52,213580,"Daniel Espinosa","Denzel Washington","$126.37M"
"1776",26,"The Vow","104 min","Comedy, Drama, Romance",6.8,43,188450,"Michael Sucsy","Rachel McAdams","$125.01M"
"1777",27,"Life of Pi","127 min","Adventure, Drama, Fantasy",7.9,79,599295,"Ang Lee","Suraj Sharma","$124.99M"
"1778",28,"Magic Mike","110 min","Comedy, Drama",6.1,72,134573,"Steven Soderbergh","Channing Tatum","$113.72M"
"1779",29,"The Bourne Legacy","135 min","Action, Adventure, Thriller",6.6,61,291869,"Tony Gilroy","Jeremy Renner","$113.20M"
"1780",30,"Journey 2: The Mysterious Island","94 min","Action, Adventure, Comedy",5.8,41,97782,"Brad Peyton","Josh Hutcherson","$103.86M"
"1781",31,"Rise of the Guardians","97 min","Animation, Adventure, Comedy",7.3,58,163512,"Peter Ramsey","Hugh Jackman","$103.41M"
"1782",32,"Zero Dark Thirty","157 min","Drama, History, Thriller",7.4,95,284145,"Kathryn Bigelow","Jessica Chastain","$95.72M"
"1783",33,"Flight","138 min","Drama, Thriller",7.3,76,337040,"Robert Zemeckis","Denzel Washington","$93.77M"
"1784",34,"Think Like a Man","122 min","Comedy, Romance",6.5,51,45460,"Tim Story","Chris Brown","$91.55M"
"1785",35,"The Campaign","85 min","Comedy",6.1,50,127460,"Jay Roach","Will Ferrell","$86.91M"
"1786",36,"The Expendables 2","103 min","Action, Adventure, Thriller",6.6,51,298602,"Simon West","Sylvester Stallone","$85.02M"
"1787",37,"Wrath of the Titans","99 min","Action, Adventure, Fantasy",5.7,37,185077,"Jonathan Liebesman","Sam Worthington","$83.67M"
"1788",38,"Jack Reacher","130 min","Action, Thriller",7,50,320571,"Christopher McQuarrie","Tom Cruise","$80.07M"
"1789",39,"Dark Shadows","113 min","Comedy, Fantasy, Horror",6.2,55,254510,"Tim Burton","Johnny Depp","$79.73M"
"1790",40,"Parental Guidance","105 min","Comedy, Family",6,36,25437,"Andy Fickman","Billy Crystal","$77.27M"
"1791",41,"John Carter","132 min","Action, Adventure, Sci-Fi",6.6,51,262229,"Andrew Stanton","Taylor Kitsch","$73.08M"
"1792",42,"Act of Valor","110 min","Action, Adventure, Thriller",6.5,40,67817,"Mike McCoy","Alex Veadov","$70.01M"
"1793",43,"This Is 40","134 min","Comedy, Romance",6.2,59,133293,"Judd Apatow","Paul Rudd","$67.54M"
"1794",44,"Contraband","109 min","Action, Crime, Drama",6.4,51,119896,"Baltasar Kormákur","Mark Wahlberg","$66.53M"
"1795",45,"Looper","113 min","Action, Drama, Sci-Fi",7.4,84,549706,"Rian Johnson","Joseph Gordon-Levitt","$66.49M"
"1796",46,"Madea's Witness Protection","114 min","Comedy, Crime, Drama",4.9,42,10533,"Tyler Perry","Tyler Perry","$65.65M"
"1797",47,"Battleship","131 min","Action, Adventure, Sci-Fi",5.8,41,241301,"Peter Berg","Alexander Skarsgård","$65.42M"
"1798",48,"Pitch Perfect","112 min","Comedy, Music, Romance",7.1,66,288975,"Jason Moore","Anna Kendrick","$65.00M"
"1799",49,"Mirror Mirror","106 min","Adventure, Comedy, Drama",5.6,46,86045,"Tarsem Singh","Lily Collins","$64.94M"
"1800",50,"Chronicle","84 min","Action, Drama, Sci-Fi",7,69,244598,"Josh Trank","Dane DeHaan","$64.58M"
"1801",1,"The Hunger Games: Catching Fire","146 min","Action, Drama, Mystery",7.5,76,631844,"Francis Lawrence","Jennifer Lawrence","$424.67M"
"1802",2,"Iron Man Three","130 min","Action, Adventure, Sci-Fi",7.1,62,789727,"Shane Black","Robert Downey Jr.","$409.01M"
"1803",3,"Frozen","102 min","Animation, Adventure, Comedy",7.4,75,591260,"Chris Buck","Kristen Bell","$400.74M"
"1804",4,"Despicable Me 2","98 min","Animation, Adventure, Comedy",7.3,62,380507,"Pierre Coffin","Steve Carell","$368.06M"
"1805",5,"Man of Steel","143 min","Action, Adventure, Sci-Fi",7,55,729060,"Zack Snyder","Henry Cavill","$291.05M"
"1806",6,"Gravity","91 min","Adventure, Drama, Sci-Fi",7.7,96,790486,"Alfonso Cuarón","Sandra Bullock","$274.09M"
"1807",7,"Monsters University","104 min","Animation, Adventure, Comedy",7.2,65,336980,"Dan Scanlon","Billy Crystal","$268.49M"
"1808",8,"The Hobbit: The Desolation of Smaug","161 min","Adventure, Fantasy",7.8,66,620935,"Peter Jackson","Ian McKellen","$258.37M"
"1809",9,"Furious 6","130 min","Action, Adventure, Thriller",7,61,381065,"Justin Lin","Vin Diesel","$238.68M"
"1810",10,"Oz the Great and Powerful","130 min","Adventure, Family, Fantasy",6.3,44,202671,"Sam Raimi","James Franco","$234.91M"
"1811",11,"Star Trek Into Darkness","132 min","Action, Adventure, Sci-Fi",7.7,72,471782,"J.J. Abrams","Chris Pine","$228.78M"
"1812",12,"Thor: The Dark World","112 min","Action, Adventure, Fantasy",6.8,54,627168,"Alan Taylor","Chris Hemsworth","$206.36M"
"1813",13,"World War Z","116 min","Action, Adventure, Horror",7,63,624795,"Marc Forster","Brad Pitt","$202.36M"
"1814",14,"The Croods","98 min","Animation, Adventure, Comedy",7.2,55,202011,"Kirk DeMicco","Nicolas Cage","$187.17M"
"1815",15,"The Heat","117 min","Action, Comedy, Crime",6.6,60,166395,"Paul Feig","Sandra Bullock","$159.58M"
"1816",16,"We're the Millers","110 min","Comedy, Crime",7,44,421144,"Rawson Marshall Thurber","Jason Sudeikis","$150.39M"
"1817",17,"American Hustle","138 min","Crime, Drama",7.2,90,461574,"David O. Russell","Christian Bale","$150.12M"
"1818",18,"The Great Gatsby","143 min","Drama, Romance",7.2,55,501978,"Baz Luhrmann","Leonardo DiCaprio","$144.84M"
"1819",19,"The Conjuring","112 min","Horror, Mystery, Thriller",7.5,68,471406,"James Wan","Patrick Wilson","$137.40M"
"1820",20,"Identity Thief","111 min","Comedy, Crime, Drama",5.7,35,128870,"Seth Gordon","Jason Bateman","$134.51M"
"1821",21,"Grown Ups 2","101 min","Comedy",5.4,19,146005,"Dennis Dugan","Adam Sandler","$133.67M"
"1822",22,"The Wolverine","126 min","Action, Sci-Fi",6.7,61,443165,"James Mangold","Hugh Jackman","$132.56M"
"1823",23,"Anchorman 2: The Legend Continues","119 min","Comedy",6.3,61,174018,"Adam McKay","Will Ferrell","$127.35M"
"1824",24,"Lone Survivor","121 min","Action, Biography, Drama",7.5,60,275128,"Peter Berg","Mark Wahlberg","$125.10M"
"1825",25,"G.I. Joe: Retaliation","110 min","Action, Adventure, Sci-Fi",5.8,41,177506,"Jon M. Chu","Dwayne Johnson","$122.52M"
"1826",26,"Cloudy with a Chance of Meatballs 2","95 min","Animation, Adventure, Comedy",6.4,59,95847,"Cody Cameron","Bill Hader","$119.79M"
"1827",27,"Now You See Me","115 min","Crime, Mystery, Thriller",7.2,50,619371,"Louis Leterrier","Jesse Eisenberg","$117.72M"
"1828",28,"The Wolf of Wall Street","180 min","Biography, Crime, Drama",8.2,75,1261656,"Martin Scorsese","Leonardo DiCaprio","$116.90M"
"1829",29,"The Butler","132 min","Biography, Drama",7.2,65,111765,"Lee Daniels","Forest Whitaker","$116.63M"
"1830",30,"The Hangover Part III","100 min","Comedy, Crime",5.8,30,301862,"Todd Phillips","Bradley Cooper","$112.20M"
"1831",31,"Epic","102 min","Animation, Adventure, Family",6.7,52,102390,"Chris Wedge","Amanda Seyfried","$107.52M"
"1832",32,"Captain Phillips","134 min","Adventure, Biography, Crime",7.8,82,437171,"Paul Greengrass","Tom Hanks","$107.10M"
"1833",33,"Bad Grandpa","92 min","Comedy",6.5,54,91450,"Jeff Tremaine","Johnny Knoxville","$102.00M"
"1834",34,"Pacific Rim","131 min","Action, Adventure, Sci-Fi",6.9,65,479386,"Guillermo del Toro","Idris Elba","$101.80M"
"1835",35,"This Is the End","107 min","Comedy",6.6,67,394889,"Evan Goldberg","James Franco","$101.47M"
"1836",36,"Olympus Has Fallen","119 min","Action, Thriller",6.5,41,265488,"Antoine Fuqua","Gerard Butler","$98.93M"
"1837",37,"42","128 min","Biography, Drama, Sport",7.5,62,90221,"Brian Helgeland","Chadwick Boseman","$95.00M"
"1838",38,"Elysium","109 min","Action, Drama, Sci-Fi",6.6,61,430450,"Neill Blomkamp","Matt Damon","$93.05M"
"1839",39,"Planes","91 min","Animation, Adventure, Comedy",5.7,39,43702,"Klay Hall","Carlos Alazraqui","$90.29M"
"1840",40,"The Lone Ranger","150 min","Action, Adventure, Western",6.4,37,227093,"Gore Verbinski","Johnny Depp","$89.30M"
"1841",41,"Oblivion","124 min","Action, Adventure, Sci-Fi",7,54,500117,"Joseph Kosinski","Tom Cruise","$89.02M"
"1842",42,"Insidious: Chapter 2","106 min","Horror, Mystery, Thriller",6.6,40,162019,"James Wan","Patrick Wilson","$83.59M"
"1843",43,"Saving Mr. Banks","125 min","Biography, Comedy, Drama",7.5,65,156363,"John Lee Hancock","Emma Thompson","$83.30M"
"1844",44,"Turbo","96 min","Animation, Adventure, Comedy",6.4,58,90011,"David Soren","Ryan Reynolds","$83.03M"
"1845",45,"2 Guns","109 min","Action, Comedy, Crime",6.7,55,203578,"Baltasar Kormákur","Denzel Washington","$75.61M"
"1846",46,"White House Down","131 min","Action, Drama, Thriller",6.3,52,212913,"Roland Emmerich","Channing Tatum","$73.10M"
